"id_municipio","municipio","tipo","id_distrito","latitud","longitud","altitud","sist_norm_int"
"96","SAN ANDRES SINAXTLA","INTEROCEANICO","15","17.46583333","-97.27944444","2060","Sistemas normativos internos"
"97","SAN ANDRES SOLAGA","INTEROCEANICO","27","17.27083333","-96.23472222","1520","Sistemas normativos internos"
"98","SAN ANDRES TEOTILALPAM","INTEROCEANICO","3","17.95416667","-96.65555556","1570","Sistemas normativos internos"
"99","SAN ANDRES TEPETLAPA","INTEROCEANICO","19","17.66583333","-98.39138889","1480","Sistemas normativos internos"
"100","SAN ANDRES YAA","INTEROCEANICO","27","17.29166667","-96.15305556","1570","Sistemas normativos internos"
"101","SAN ANDRES ZABACHE","INTEROCEANICO","5","16.59916667","-96.85888889","1420","Sistemas normativos internos"
"102","SAN ANDRES ZAUTLA","INTEROCEANICO","6","17.18611111","-96.86305556","1640","Partidos politicos"
"103","SAN ANTONINO CASTILLO VELASCO","470","16","16.80305556","-96.68388889","1500","Partidos politicos"
"104","SAN ANTONINO EL ALTO","470","30","16.81472222","-97.02888889","2020","Sistemas normativos internos"
"105","SAN ANTONINO MONTE VERDE","470","23","17.53222222","-97.72083333","2240","Sistemas normativos internos"
"106","SAN ANTONIO ACUTLA","470","23","17.74361111","-97.49888889","2160","Sistemas normativos internos"
"107","SAN ANTONIO DE LA CAL","470","1","17.02833333","-96.70055556","1560","Sistemas normativos internos"
"108","SAN ANTONIO HUITEPEC","470","29","16.92666667","-97.14694444","2340","Sistemas normativos internos"
"109","SAN ANTONIO NANAHUATIPAM","INTEROCEANICO","22","18.13555556","-97.12583333","790","Sistemas normativos internos"
"110","SAN ANTONIO SINICAHUA","470","25","17.15","-97.56666667","2110","Sistemas normativos internos"
"111","SAN ANTONIO TEPETLAPA","470","9","16.54138889","-98.06555556","390","Sistemas normativos internos"
"112","SAN BALTAZAR CHICHICAPAM","INTEROCEANICO","16","16.76111111","-96.48944444","1550","Partidos politicos"
"113","SAN BALTAZAR LOXICHA","470","17","16.07194444","-96.79027778","990","Sistemas normativos internos"
"114","SAN BALTAZAR YATZACHI EL BAJO","470","27","17.22638889","-96.22027778","1600","Sistemas normativos internos"
"115","SAN BARTOLO COYOTEPEC","470","1","16.95805556","-96.7075","1520","Sistemas normativos internos"
"116","SAN BARTOLOME AYAUTLA","INTEROCEANICO","22","18.03055556","-96.66583333","690","Partidos politicos"
"117","SAN BARTOLOME LOXICHA","INTEROCEANICO","17","15.96888889","-96.70833333","1220","Sistemas normativos internos"
"118","SAN BARTOLOME QUIALANA","INTEROCEANICO","24","16.90055556","-96.50083333","1800","Sistemas normativos internos"
"119","SAN BARTOLOME YUCUAÑE","INTEROCEANICO","25","17.23888889","-97.45","1790","Sistemas normativos internos"
"120","SAN BARTOLOME ZOOGOCHO","INTEROCEANICO","27","17.23861111","-96.24166667","1420","Sistemas normativos internos"
"121","SAN BARTOLO SOYALTEPEC","470","23","17.59027778","-97.30694444","2280","Sistemas normativos internos"
"122","SAN BARTOLO YAUTEPEC","470","28","16.42833333","-95.97361111","860","Sistemas normativos internos"
"123","SAN BERNARDO MIXTEPEC","470","30","16.82472222","-96.89888889","1630","Sistemas normativos internos"
"124","SAN BLAS ATEMPA","470","21","16.32638889","-95.22555556","40","Partidos politicos"
"125","SAN CARLOS YAUTEPEC","470","28","16.49555556","-96.10555556","880","Sistemas normativos internos"
"126","SAN CRISTOBAL AMATLAN","INTEROCEANICO","13","16.31833333","-96.41","1740","Sistemas normativos internos"
"127","SAN CRISTOBAL AMOLTEPEC","INTEROCEANICO","25","17.28472222","-97.57","2320","Sistemas normativos internos"
"128","SAN CRISTOBAL LACHIRIOAG","INTEROCEANICO","27","17.33472222","-96.16527778","1230","Sistemas normativos internos"
"129","SAN CRISTOBAL SUCHIXTLAHUACA","INTEROCEANICO","2","17.72638889","-97.36666667","2070","Sistemas normativos internos"
"130","SAN DIONISIO DEL MAR","470","10","16.32166667","-94.75694444","10","Partidos politicos"
"131","SAN DIONISIO OCOTEPEC","470","24","16.79611111","-96.39583333","1690","Sistemas normativos internos"
"132","SAN DIONISIO OCOTLAN","INTEROCEANICO","16","16.74555556","-96.67972222","1520","Sistemas normativos internos"
"133","SAN ESTEBAN ATATLAHUCA","E100","25","17.06527778","-97.67722222","2470","Sistemas normativos internos"
"134","SAN FELIPE JALAPA DE DIAZ","INTEROCEANICO","26","18.07027778","-96.53583333","140","Partidos politicos"
"135","SAN FELIPE TEJALAPAM","INTEROCEANICO","6","17.11111111","-96.85416667","1650","Sistemas normativos internos"
"136","SAN FELIPE USILA","470","26","17.88777778","-96.52444444","110","Partidos politicos"
"137","SAN FRANCISCO CAHUACUA","INTEROCEANICO","20","16.89277778","-97.30527778","1320","Sistemas normativos internos"
"138","SAN FRANCISCO CAJONOS","470","27","17.17083333","-96.25","1680","Sistemas normativos internos"
"139","SAN FRANCISCO CHAPULAPA","470","3","17.94027778","-96.75555556","1380","Sistemas normativos internos"
"140","SAN FRANCISCO CHINDUA","INTEROCEANICO","15","17.42666667","-97.31222222","2110","Sistemas normativos internos"
